id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
87,67,318.021,303.307,3915.94010761,312.317,1562720137,311.994,312.317,968,759,310.868
88,175,0.29453,0.287,11517.40493608,0.29225,1562720137,0.28702,0.29399,49,80,0.293
89,112,1.66699,1.472,9683.07223111,1.52799,1562720167,1.5,1.53413,147,128,1.51
90,179,1.00098,0.996,28597.62417696,0.99701,1562720167,0.999,1.00097,46,37,1
91,238,0.01799,0.01533,237952.18729116,0.0167,1562720167,0.01651,0.01767,53,288,0.01734
92,1,12893.543,12113.347,1550.46213535,12865.408,1562720167,12852.044,12852.879,3872,1545,12269.769
93,2,124.238,118,4188.95659853,119.827,1562720167,119.501,119.865,484,866,122.654
94,178,0.035,0.03364,6261627.48229469,0.03445,1562720167,0.0344,0.03469,233,306,0.0342
95,226,1,0.99,1134.75805384,1,1562720167,0.99,0.99999,46,26,0.996
96,160,428,410.112,615.69033149,419.248,1562720167,417.749,419.11,186,226,416.443
97,106,106.965,98.552,552.39928588,99.594,1562720167,100.671,101.363,156,222,105.733
98,94,8.128,7.76701,7224.56746922,7.915,1562720167,7.86101,7.936,146,342,7.99953
99,38,0.01355,0.0124,1616082.48204574,0.01331,1562720167,0.01321,0.01347,135,430,0.01297
100,162,0.08079,0.07717,1857574.49292904,0.07777,1562720167,0.07786,0.0786,247,714,0.08006
101,140,0.302,0.29,147485.26697668,0.299,1562720167,0.29801,0.299,87,258,0.298
102,48,0.40662,0.39004,569086.68806395,0.39673,1562720167,0.39673,0.397,442,1557,0.4032
103,138,9.987,9.0612,3037.98378027,9.0612,1562720167,9.24301,9.393,91,205,9.537
104,139,0.00344,0.00311,9905731.16553996,0.00331,1562720167,0.00321,0.00349,150,252,0.00312
105,71,1.00857,0.99916,330596.22679866,1.002,1562720167,1.002,1.00356,264,177,1.00499
106,221,214,200.69,823.45152144,206.191,1562720167,205.878,206.834,211,194,200.69
107,208,0.01661,0.0165,23534.38535536,0.01661,1562720167,0.01613,0.01799,32,75,0.0165
108,215,1.005,0.998,24062.07138084,0.998,1562720167,0.99801,1.00609,65,23,0.999
109,67,318.021,303.307,3915.94010761,312.317,1562720167,311.994,312.317,970,758,310.868
110,175,0.29453,0.287,11517.40493608,0.29225,1562720167,0.28832,0.29192,49,80,0.293
111,112,1.66699,1.472,9683.07223111,1.52799,1562720197,1.49992,1.53144,147,127,1.51
112,179,1.00098,0.996,28597.62417696,0.99701,1562720197,0.999,1.00097,47,37,1
113,238,0.01799,0.01533,237952.18729116,0.0167,1562720197,0.01651,0.01767,53,288,0.01734
114,1,12893.543,12113.347,1550.50064984,12852.045,1562720197,12852.044,12855.308,3869,1542,12269.769
115,2,124.238,118,4188.95659853,119.827,1562720197,119.501,119.865,484,865,122.654
116,178,0.035,0.03364,6261627.48229469,0.03445,1562720197,0.0344,0.03467,235,307,0.0342
117,226,1,0.99,1134.75805384,1,1562720197,0.99,0.99999,46,26,0.996
118,160,428,410.112,615.69033149,419.248,1562720197,417.932,419.11,186,226,416.443
119,106,106.965,98.552,552.39928588,99.594,1562720197,100.675,101.353,156,222,105.733
120,94,8.128,7.76701,7224.56746922,7.915,1562720197,7.86501,7.935,145,342,7.99953
121,38,0.01355,0.0124,1616082.48204574,0.01331,1562720197,0.01321,0.01347,135,430,0.01297
122,162,0.08079,0.07717,1857574.49292904,0.07777,1562720197,0.07787,0.0786,249,713,0.08006
123,140,0.302,0.29,147485.26697668,0.299,1562720197,0.29801,0.299,87,258,0.298
124,48,0.40662,0.39004,569086.68806395,0.39673,1562720197,0.39673,0.397,442,1557,0.4032
125,138,9.987,9.0612,3037.98378027,9.0612,1562720197,9.24701,9.39099,92,206,9.537
