id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
115,133,0.07659083,0.07245271,293.80068858,0.07592423,1562719882,0.07581725,0.07619729,59,114,0.07659083
116,157,0.00023687,0.00022479,99638.64842565,0.000232,1562719882,0.000231,0.00023321,162,351,0.0002321
117,183,0.00026605,0.00025758,76698.86570398,0.00026131,1562719882,0.00026122,0.00026584,46,281,0.000262
118,212,0.00000267,0.00000256,11057191.72492109,0.00000262,1562719882,0.0000026,0.00000262,18,180,0.00000267
119,73,0.00033674,0.00032431,245109.0259904,0.000325,1562719882,0.00032426,0.00032575,208,735,0.00033674
120,152,0.0006745,0.00061816,31878.77700067,0.00062497,1562719882,0.00062003,0.00064964,34,401,0.0006745
121,248,0,0,0,0,1562719882,0.00002868,0.0000308,23,48,0
122,265,0.00119674,0.00113119,5582.39706096,0.00119674,1562719882,0.00117676,0.00119674,31,62,0.00113896
123,95,0.00265,0.00257,1634.79796448,0.00258,1562719882,0.00257,0.00263999,196,552,0.00263
124,167,0.0001485,0.0001182,199252.36854559,0.00014066,1562719882,0.00012883,0.00014844,23,38,0.00011854
125,281,0.0033247,0.00314974,1677.75520742,0.00316938,1562719882,0.00304864,0.00332468,16,3,0.00316639
126,2,0.39490837,0.38220604,1114.34507821,0.38220604,1562719882,0.38211545,0.38315666,339,377,0.39335841
127,174,0.00024508,0.00022218,420785.0622603,0.00022474,1562719882,0.00022454,0.00022535,51,274,0.000244
128,48,0.00129875,0.00126597,495660.09160694,0.00126961,1562719882,0.00126709,0.00127005,202,1122,0.00129875
129,171,0.00005826,0.00005455,7786.68965993,0.00005624,1562719882,0.00005624,0.00005857,43,172,0.00005826
130,159,0.01591413,0.01531407,1808.79220949,0.01550941,1562719882,0.0154,0.01546649,242,243,0.01583811
131,225,0.00114095,0.00102065,129888.75745918,0.00103587,1562719882,0.00103491,0.00104713,65,120,0.00102065
132,25,0.331,0.32085093,159.12174745,0.32223511,1562719882,0.32103904,0.32223511,170,361,0.32631679
133,266,0.016986,0.016,2424.33178095,0.01621428,1562719882,0.01563646,0.01630346,22,84,0.016343
134,140,0.00096886,0.0009294,104487.20972066,0.00095762,1562719882,0.00095458,0.00095818,133,452,0.00095634
135,90,0.00613,0.00581073,12429.07154331,0.00590651,1562719882,0.00586001,0.00594155,107,414,0.00603907
136,105,0.057,0.0554,1709.09918094,0.0557,1562719882,0.0556,0.05572208,544,608,0.05596978
137,9,0.51469952,0.49993916,172.02010386,0.50399426,1562719882,0.50181803,0.50487044,105,506,0.51469952
138,38,0.00004396,0.00003953,1737748.66810462,0.00004286,1562719882,0.00004275,0.00004288,151,446,0.00004089
139,160,1.35852741,1.3341774,213.0454115,1.34,1562719882,1.34,1.34301294,267,410,1.34061457
140,94,0.02581801,0.025,4081.05966781,0.02536447,1562719882,0.02532802,0.02554855,138,594,0.02548096
141,162,0.00025699,0.00024972,2060858.07425782,0.00024996,1562719882,0.00024937,0.00024994,293,1133,0.00025639
142,126,0.00030001,0.00028813,113281.03202916,0.00029523,1562719882,0.00028874,0.00029142,77,399,0.00030001
143,190,0.00000722,0.00000695,112426.75422935,0.00000712,1562719882,0.00000708,0.00000722,31,195,0.00000697
144,221,0.67709244,0.649,139.66181395,0.66653092,1562719882,0.65768456,0.66227423,129,185,0.658
145,106,0.33842722,0.32210511,268.18305761,0.32496372,1562719882,0.32326826,0.32452038,200,385,0.3380194
146,137,0.0026,0.00233,5102.46401882,0.0026,1562719882,0.00252,0.00265001,95,114,0.0024
147,173,0.00007298,0.00006989,3084.13646832,0.00007298,1562719882,0.00006993,0.00007884,18,243,0.0000726
148,156,0.00812266,0.00785796,7865.70537342,0.00794467,1562719882,0.0079,0.00796313,88,255,0.00812266
149,163,0.0001785,0.00016258,245526.37242652,0.00016997,1562719882,0.00016897,0.00016899,79,244,0.00016258
150,60,0.00029832,0.00028482,171774.23893263,0.0002903,1562719882,0.00028774,0.00029056,124,295,0.00029832
151,139,0.00001104,0.00001035,22741709.51249488,0.0000108,1562719882,0.00001074,0.00001089,89,673,0.00001035
152,287,0.0193,0.0189,291.17842817,0.019,1562719882,0.0189,0.01899284,89,18,0.0189
